venue_id, venue_name, venie_catogory
4af4acb5f964a520f9f421e3,Time Warp Comics & Games,Bookstore
40cf8d80f964a52033011fe3,Spice Market,Thai Restaurant
4b3ac49ef964a520226e25e3,"Union, NJ",City
412d2800f964a520df0c1fe3,Central Park,Park
3fd66200f964a520bdea1ee3,Sardi's,Italian Restaurant
4cd1c1e2e33d9eb0ccfc65a6,Hess Express,Gas Station
512f8233e4b04458d4385195,Stumptown Coffee Roasters,Coffee Shop
42893400f964a52052231fe3,Prospect Park,Park
4eaa765d4fc6d0cb8bba78fd,Morris Heights,Neighborhood
54310edb498e6691665796dc,Cafe Bustelo Time,Coffee Shop
49b7ed6df964a52030531fe3,Times Square,Plaza
4afb4334f964a520791c22e3,Bergen Community College,Community College
4b2eb792f964a52092e524e3,D'Agostino Supermarket,Supermarket
4ddc143fd4c082f960be9c3c,Westchester County/Bronx Border,Border Crossing
4c229f979a67a593cfd4dc87,Robert E. Venable Park,Park
4e691e82b9930387355c629d,Saxon + Parole,American Restaurant
4b5ce4cef964a520b44929e3,H Mart,Supermarket
412bd680f964a520bc0c1fe3,Taishu-Izakaya Kenka,Japanese Restaurant
4a15a2e8f964a520a9781fe3,Mad Dog & Beans Mexican Cantina,Mexican Restaurant
3fd66200f964a52005f11ee3,Pumps,Strip Club
4b92aff9f964a520801134e3,Brewery Ommegang,Brewery
3fd66200f964a520b6e71ee3,Carnegie Hall (Stern Auditorium/Perelman Stage),Concert Hall
4a513b17f964a520d2b01fe3,LIRR - Jamaica Station,Train Station
4a24458bf964a5200b7e1fe3,WORD Brooklyn,Bookstore
4abbcb14f964a520f58420e3,Ontario,Dive Bar
4bce371e68f976b068b26583,Boston Market,American Restaurant
51257c6ae4b086137682f82c,Skinny Dennis,Dive Bar
4a4821f5f964a52095aa1fe3,Lincoln Tunnel,Tunnel
4bc8f830fb84c9b6b3321a3e,Avanti Nail & Spa,Spa
4d8fb0e1b46488bf0e3adda2,Chavela's,Mexican Restaurant
50a29851f31c6bbf2953890a,GO For It Kickboxing Ozone Park,Athletics & Sports
4a07ac6af964a5208f731fe3,Westfield Garden State Plaza,Shopping Mall
4b661dc5f964a52089142be3,Walmart,Big Box Store
4bc7066f8b7c9c744ea235cf,1400 Block Sterling Place,Building
4d62eb69fee2a093f5ecf2b9,Hummus Kitchen,Mediterranean Restaurant
412d2800f964a520df0c1fe3,Central Park,Park
48f1a197f964a52042521fe3,Five Leaves,American Restaurant
4eac5d57cc217eb08f291e0e,Macy's,Department Store
4bb617b2f562ef3b379a2f97,Coalition For The Homeless,Building
4b335363f964a520b31825e3,US Post Office - Soundview Station,Post Office
553ac3c8498e6d2422de7741,Rosie's,Mexican Restaurant
53f91697498ecc0a79c4aa88,Caffè Bene,Café
4bbb8db9e5b0d13a1b326e7c,US Post Office,Post Office
4c3f91343735be9a4d9615a4,Rancho Grande Restaurant,Mexican Restaurant
4dcc5861887714552bd47b34,Brooklyn Roasting Company,Coffee Shop
4ae37ac8f964a520a49521e3,Lam Zhou Handmade Noodle,Noodle House
50ede535e4b06ee96f985f5e,Qi Thai Grill,Thai Restaurant
51c5e9a5498e967b084f17c5,PaTea Bubble Tea,Bubble Tea Shop
4c0c08d799459521d89774dd,The Hillcrest,Residential Building (Apartment / Condo)
4ac8b592f964a52054bc20e3,New York-Presbyterian/Columbia University Medical Center,Hospital
54b80565498e6d4f36168cd8,Xi'an Famous Foods,Chinese Restaurant
4afb5b0bf964a520411d22e3,Poor Herbie's,Pub
543c0571498ef7b662ab79bd,SoulCycle West 27th,Cycle Studio
51d41fec498eece3e0fe247f,Dunkin' Donuts,Donut Shop
49be9356f964a520bd541fe3,Hanco's Bubble Tea & Vietnamese Sandwich,Vietnamese Restaurant
52447c9411d2e4f9c1bfd659,The Nugget Spot,Comfort Food Restaurant
4ac4e327f964a5206d9f20e3,The Reo Diner,Diner
50796588e4b08016889837e5,Potbelly Sandwich Shop,Sandwich Place
3fd66200f964a52024e41ee3,Verlaine Bar & Lounge,Bar
4a4821f5f964a52095aa1fe3,Lincoln Tunnel,Tunnel
49c18298f964a520b0551fe3,Valhalla,Bar
4a65a823f964a5208cc71fe3,NJT - Frank R. Lautenberg Secaucus Junction Station,Train Station
4b1e8173f964a520b21a24e3,William Paterson University,University
4a6a09fcf964a52072cc1fe3,Public House,Bar
4ac245ecf964a520879820e3,Barnes & Noble,Bookstore
4be1dcc440c0ef3b2f5cbed6,Fort Tryon Park,Park
4acf6882f964a52079d320e3,Manhattan Mini  Storage - South St,Building
4aa56a4cf964a520414820e3,Circle Line Sightseeing Cruises,Cruise
53f67175498eacc7b0c17072,American Glory BBQ,American Restaurant
54e49e87498e0e161ef30bdd,Juice Doctor,Juice Bar
