venue_id,venue_name,veunue_category
4b619792f964a5202f192ae3,Pershing Plaza,Building
5262c5c311d23296a985d6ab,Lucy's Mexican Restaurant,Mexican Restaurant
4c0577bd8f8fa5939ce6f10d,Century Medical Dental,Doctor's Office
49b7ed6df964a52030531fe3,Times Square,Plaza
4f63d2c5e4b03c27093cfd3c,Jaiya New York,Thai Restaurant
4b92d8d5f964a520292134e3,Solberg-Hunterdon Airport (N51),Airport
5263da4a11d22d57022100d6,Twin Peaks Coffee & Donuts,Breakfast Spot
4bb2a5374019a5939f2837b8,Yobo Asian Cuisine,Japanese Restaurant
4b57385df964a520af2b28e3,New Baltimore Travel Plaza,Rest Area
4b7c8b17f964a520fb992fe3,Sunnyside nail spa,Nail Salon
5679f8ea498ea3d07b4f32d7,Burger Eatery,Burger Joint
50ba99c572daa1ccd1e2962f,"Breezy Point, NY",Neighborhood
4a6c745ef964a52091d01fe3,Room & Board,Furniture / Home Store
4b54f5a3f964a52053d527e3,Outback Steakhouse,Steakhouse
4b64a232f964a52009c42ae3,Walmart Supercenter,Big Box Store
4bcdc6bd937ca593fa40ad92,Andaz 5th Avenue,Hotel
4d659aa45a27b1f74e8b015e,Demuro Track,Track
4bb8b37d314e952185a6489d,Rosehill Cemetery,Cemetery
4dd43ffd1fc72a9b4a70b6e1,Argo Tea,Tea Room
4c55c8d61b46c9b612a1d2d0,CVS/pharmacy,Drugstore / Pharmacy
4b8d97aef964a520070333e3,Hoffman Car Wash,Car Wash
4bb49c97d1b0c9b6e6139daf,Stever Hill Vineyard,Vineyard
4a735601f964a5202fdc1fe3,Freehold Raceway Mall,Shopping Mall
4a4821f5f964a52095aa1fe3,Lincoln Tunnel,Tunnel
4a7c61fef964a52072ec1fe3,Trump Tower,Building
4c27c799ce3fc9280d376c88,Lincoln Harbor Yacht Club,Harbor / Marina
4ba11256f964a520f09437e3,Learning Community Charter School,School
4fc01480e4b0c9fe0546273a,Deccan Spice,Indian Restaurant
4bddfb32ffdec9288239e7a1,Liberty Landing Marina,Harbor / Marina
4bf53cf6cad2c9284fc59c99,South Grand Island Bridge,Bridge
4af281eaf964a520d2e721e3,Starbucks,Coffee Shop
4daf49df1e7264cc0e3234ca,Essex County College,Community College
49e34ff9f964a52071621fe3,Nu-Tech Nail Corporation,Spa
4ad25117f964a520e1e020e3,Metro North - Bedford Hills Station,Train Station
4c7d275f1eeb9c747700b606,PS/IS 109,School
4e0647257d8b2a0180537ade,Freshco Twenty Two,Deli / Bodega
4b992b04f964a520726635e3,Barclays Center,Basketball Stadium
53150e1ee4b0e72a36ebda2a,Central Harlem,Neighborhood
50bd335ee4b0e37b6ed79471,SoulCycle East 63rd,Cycle Studio
5388a04b498ebf727011b894,Happy Nails & Spa,Nail Salon
4daf47dcfa8c123fa7eae3a0,NYC Department of Health & Mental Hygiene,Government Building
4b4a382cf964a5204a7f26e3,High Street YMCA,Gym
4f285f38e4b0c67a1901e481,Hudsonview Terrace,Building
4c6d3c30d68a9c74c3f96d6b,Westminster Arts Center,Performing Arts Venue
4b1a927cf964a52091ec23e3,Starbucks,Coffee Shop
4c62bfd0e1621b8dfe232453,"Flushing, NY",Neighborhood
4b72864df964a5202e7d2de3,T&A Deli,Deli / Bodega
4dda6790c65bee535af84660,Notre Dame High School,High School
4e97586682313bfa3adb6334,Tecny Group,Office
54be9882498ec5c26953896e,mishmish,Moroccan Restaurant
4e3c785d8877b00cfc3a7093,Adirondack Park,Other Great Outdoors
