lat,lon,county
40.73507,-73.98891,New York County
40.830666,-74.13954,Passaic County
40.67865,-73.9587,Kings County
40.76065,-73.97224,New York County
40.731148,-73.98871,New York County
40.666004,-73.99015,Kings County
40.730656,-74.0108,New York County
40.72382,-73.98535,New York County
40.687065,-74.18252,Union County
43.08011,-75.95269,Onondaga County
40.710476,-74.09959,Hudson County
41.319145,-74.14707,Orange County
40.702938,-73.93347,Kings County
40.73739,-73.992836,New York County
40.82338,-73.930626,Bronx County
40.76356,-73.98277,New York County
40.892193,-74.118004,Bergen County
40.76494,-73.814766,Queens County
40.762062,-73.985855,New York County
40.73544,-74.00438,New York County
40.81187,-74.21556,Essex County
40.69619,-74.27077,Union County
40.84633,-73.998924,Bergen County
40.730545,-74.000175,New York County
40.814365,-74.22072,Essex County
40.81825,-73.96053,New York County
40.771427,-73.9735,New York County
40.71994,-73.96001,Kings County
40.677097,-73.963806,Kings County
39.57542,-74.77789,Atlantic County
40.731674,-74.00454,New York County
40.756886,-73.986565,New York County
40.757603,-73.98914,New York County
40.722874,-73.99462,New York County
40.76015,-73.98911,New York County
40.76758,-73.95935,New York County
40.75485,-73.98801,New York County
40.84996,-73.96995,Bergen County
40.697308,-74.178055,Essex County
40.761837,-73.96518,New York County
40.775146,-73.9831,New York County
40.78286,-73.948006,New York County
40.677036,-73.97235,Kings County
40.756035,-73.97283,New York County
40.75558,-73.97086,New York County
40.80479,-73.95237,New York County
40.713898,-74.03811,Hudson County
40.723682,-74.00014,New York County
40.74939,-73.982864,New York County
40.83623,-74.15115,Passaic County
40.807632,-73.94702,New York County
42.878315,-78.69404,Erie County
40.96241,-74.06781,Bergen County
40.738876,-73.992805,New York County
40.440487,-74.355064,Middlesex County
40.77894,-73.962296,New York County
40.729633,-73.9583,Kings County
40.681225,-73.95571,Kings County
40.701893,-74.009155,New York County
40.734005,-74.003,New York County
40.862877,-73.88351,Bronx County
40.724373,-73.99242,New York County
40.63244,-73.99851,Kings County
40.735687,-74.00594,New York County
40.66033,-74.171486,Union County
40.734447,-73.99871,New York County
40.74246,-74.02935,Hudson County
40.636097,-74.8784,Hunterdon County
40.71873,-73.95524,Kings County
40.722404,-73.95523,Kings County
40.961784,-74.067764,Bergen County
40.827187,-74.10451,Bergen County
40.728275,-73.99928,New York County
40.781906,-73.95108,New York County
40.80123,-73.96512,New York County
40.73034,-73.98399,New York County
40.742085,-74.03784,Hudson County
40.781403,-73.96059,New York County
40.71884,-73.98986,New York County
40.592186,-74.28917,Union County
40.8881,-74.2511,Passaic County
40.719746,-73.99987,New York County
40.757236,-73.98576,New York County
40.756947,-73.10935,Suffolk County
42.739758,-73.76265,Albany County
40.709335,-74.004715,New York County
40.729923,-73.98125,New York County
40.75797,-73.98567,New York County
40.784515,-74.00333,Hudson County
